Timestamp(ms),PlayerRotX,PlayerRotY,TargetRotX,TargetRotY,Fired,HitTarget
8411.0,-3.67453,79.326035,12.232038,80.948342,FALSE,NA,
8423.0,-3.67453,79.326035,12.232038,80.948342,FALSE,NA,
8444.0,-3.67453,79.326035,12.232038,80.948342,FALSE,NA,
8454.0,-3.67453,79.326035,12.232038,80.948342,FALSE,NA,
8474.0,-3.67453,79.326035,12.232038,80.948342,FALSE,NA,
8606.0,-3.67453,79.326035,12.232038,80.948342,FALSE,NA,
8632.0,-3.67453,79.326035,12.232038,80.948342,FALSE,NA,
8645.0,-3.67453,79.326035,12.232038,80.948342,FALSE,NA,
8656.0,-3.67453,79.326035,12.232038,80.948342,FALSE,NA,
8679.0,-3.67453,79.326035,12.232038,80.948342,FALSE,NA,
8690.0,-3.67453,79.326035,12.232038,80.948342,FALSE,NA,
8711.0,-3.67453,79.326035,12.232038,80.948342,FALSE,NA,
8720.0,-3.67453,79.326035,12.232038,80.948342,FALSE,NA,
8743.0,-3.67453,79.326035,12.232038,80.948342,FALSE,NA,
8753.0,-3.67453,79.326035,12.232038,80.948342,FALSE,NA,
8777.0,-3.67453,79.326035,12.232038,80.948342,FALSE,NA,
8796.0,-3.67453,79.326035,12.232038,80.948342,FALSE,NA,
8805.0,-3.67453,79.326035,12.232038,80.948342,FALSE,NA,
8826.0,-3.67453,79.326035,12.232038,80.948342,FALSE,NA,
8845.0,-3.67453,79.326035,12.232038,80.948342,FALSE,NA,
8855.0,-3.67453,79.326035,12.232038,80.948342,FALSE,NA,
8876.0,-3.67453,79.326035,12.232038,80.948342,FALSE,NA,
8896.0,-3.67453,79.326035,12.232038,80.948342,FALSE,NA,
8908.0,-3.67453,79.326035,12.232038,80.948342,FALSE,NA,
